 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   1.2716E+11   1.2315E+11   1.2315E+11   1.2315E+11   1.2163E+11   1.2315E+11   1.2315E+11   1.2315E+11   1.2290E+11   2.1477E+03   0.0000E+00
   1.0186E+02   1.4035E+11   1.2612E+11   1.2612E+11   1.2612E+11   1.2456E+11   1.2612E+11   1.2612E+11   1.2612E+11   1.2586E+11   1.6923E+03   0.0000E+00
   1.0921E+02   1.4125E+11   1.2625E+11   1.2625E+11   1.2625E+11   1.2468E+11   1.2625E+11   1.2625E+11   1.2625E+11   1.2599E+11   1.3537E+03   0.0000E+00
   1.1709E+02   1.4211E+11   1.2639E+11   1.2639E+11   1.2639E+11   1.2482E+11   1.2639E+11   1.2639E+11   1.2639E+11   1.2613E+11   1.0774E+03   0.0000E+00
   1.2554E+02   1.4886E+11   1.3029E+11   1.3029E+11   1.3029E+11   1.2866E+11   1.3029E+11   1.3029E+11   1.3028E+11   1.3001E+11   8.5504E+02   0.0000E+00
   1.3460E+02   1.4946E+11   1.3074E+11   1.3074E+11   1.3074E+11   1.2910E+11   1.3073E+11   1.3073E+11   1.3073E+11   1.3046E+11   6.9819E+02   0.0000E+00
   1.4431E+02   1.5763E+11   1.3363E+11   1.3362E+11   1.3362E+11   1.3197E+11   1.3361E+11   1.3361E+11   1.3360E+11   1.3334E+11   6.0763E+02   0.0000E+00
   1.5473E+02   1.6510E+11   1.3849E+11   1.3849E+11   1.3848E+11   1.3679E+11   1.3847E+11   1.3847E+11   1.3846E+11   1.3819E+11   6.2309E+02   0.0000E+00
   1.6589E+02   1.6802E+11   1.4095E+11   1.4095E+11   1.4094E+11   1.3922E+11   1.4093E+11   1.4093E+11   1.4091E+11   1.4064E+11   8.6212E+02   0.0000E+00
   1.7786E+02   1.6938E+11   1.4215E+11   1.4214E+11   1.4213E+11   1.4039E+11   1.4212E+11   1.4212E+11   1.4210E+11   1.4183E+11   1.6288E+03   0.0000E+00
   1.9070E+02   1.7074E+11   1.4342E+11   1.4341E+11   1.4340E+11   1.4165E+11   1.4339E+11   1.4338E+11   1.4337E+11   1.4310E+11   3.7188E+03   0.0000E+00
   2.0446E+02   1.7437E+11   1.4691E+11   1.4690E+11   1.4689E+11   1.4511E+11   1.4688E+11   1.4687E+11   1.4685E+11   1.4658E+11   9.2140E+03   0.0000E+00
   2.1922E+02   1.7688E+11   1.4938E+11   1.4937E+11   1.4935E+11   1.4754E+11   1.4934E+11   1.4933E+11   1.4931E+11   1.4904E+11   2.3205E+04   0.0000E+00
   2.3504E+02   2.3753E+11   1.7895E+11   1.7891E+11   1.7887E+11   1.7703E+11   1.7883E+11   1.7882E+11   1.7877E+11   1.7854E+11   5.8989E+04   0.0000E+00
   2.5200E+02   2.8102E+11   1.8731E+11   1.8727E+11   1.8721E+11   1.8533E+11   1.8717E+11   1.8716E+11   1.8710E+11   1.8687E+11   1.4956E+05   0.0000E+00
   2.7019E+02   3.0221E+11   1.8847E+11   1.8842E+11   1.8837E+11   1.8644E+11   1.8832E+11   1.8831E+11   1.8825E+11   1.8802E+11   3.7879E+05   0.0000E+00
   2.8969E+02   2.9291E+11   1.8355E+11   1.8351E+11   1.8346E+11   1.8153E+11   1.8342E+11   1.8341E+11   1.8335E+11   1.8311E+11   9.5751E+05   0.0000E+00
   3.1059E+02   2.7270E+11   1.8019E+11   1.8015E+11   1.8010E+11   1.7817E+11   1.8006E+11   1.8005E+11   1.8000E+11   1.7976E+11   1.5152E+06   0.0000E+00
   3.3301E+02   2.8866E+11   1.8108E+11   1.8104E+11   1.8099E+11   1.7900E+11   1.8095E+11   1.8094E+11   1.8089E+11   1.8063E+11   1.3028E+06   0.0000E+00
   3.5704E+02   2.8960E+11   1.7755E+11   1.7751E+11   1.7747E+11   1.7547E+11   1.7743E+11   1.7743E+11   1.7738E+11   1.7711E+11   1.1218E+06   0.0000E+00
   3.8280E+02   2.9071E+11   1.7378E+11   1.7375E+11   1.7371E+11   1.7173E+11   1.7368E+11   1.7367E+11   1.7363E+11   1.7336E+11   1.0041E+06   0.0000E+00
   4.1043E+02   3.2329E+11   1.7481E+11   1.7478E+11   1.7474E+11   1.7272E+11   1.7471E+11   1.7471E+11   1.7466E+11   1.7438E+11   8.8652E+05   0.0000E+00
   4.4005E+02   3.1227E+11   1.7195E+11   1.7192E+11   1.7189E+11   1.6985E+11   1.7186E+11   1.7185E+11   1.7181E+11   1.7153E+11   7.6200E+05   0.0000E+00
   4.7181E+02   2.9964E+11   1.7128E+11   1.7125E+11   1.7123E+11   1.6913E+11   1.7120E+11   1.7119E+11   1.7116E+11   1.7086E+11   6.4849E+05   0.0000E+00
   5.0586E+02   2.9279E+11   1.6896E+11   1.6893E+11   1.6891E+11   1.6679E+11   1.6888E+11   1.6888E+11   1.6884E+11   1.6853E+11   2.2667E+05   0.0000E+00
   5.4236E+02   3.0433E+11   1.6673E+11   1.6671E+11   1.6668E+11   1.6455E+11   1.6666E+11   1.6665E+11   1.6662E+11   1.6631E+11   6.9546E+04   0.0000E+00
   5.8151E+02   3.2965E+11   1.6550E+11   1.6548E+11   1.6546E+11   1.6328E+11   1.6544E+11   1.6543E+11   1.6540E+11   1.6508E+11   2.0403E+04   0.0000E+00
   6.2347E+02   3.1994E+11   1.6042E+11   1.6041E+11   1.6038E+11   1.5815E+11   1.6036E+11   1.6035E+11   1.6032E+11   1.5999E+11   5.1788E+03   0.0000E+00
   6.6847E+02   3.1384E+11   1.5831E+11   1.5830E+11   1.5827E+11   1.5596E+11   1.5826E+11   1.5825E+11   1.5821E+11   1.5787E+11   1.3927E+03   0.0000E+00
   7.1671E+02   3.0589E+11   1.5380E+11   1.5380E+11   1.5377E+11   1.5144E+11   1.5376E+11   1.5375E+11   1.5370E+11   1.5336E+11   2.2224E+03   0.0000E+00
   7.6843E+02   2.7980E+11   1.5007E+11   1.5008E+11   1.5004E+11   1.4779E+11   1.5004E+11   1.5003E+11   1.4999E+11   1.4965E+11   5.4407E+03   0.0000E+00
   8.2389E+02   2.8145E+11   1.5073E+11   1.5075E+11   1.5072E+11   1.4852E+11   1.5072E+11   1.5070E+11   1.5067E+11   1.5034E+11   1.3716E+04   0.0000E+00
   8.8334E+02   2.7264E+11   1.5147E+11   1.5149E+11   1.5145E+11   1.4930E+11   1.5146E+11   1.5145E+11   1.5141E+11   1.5109E+11   3.2742E+04   0.0000E+00
   9.4709E+02   7.2539E+11   2.4384E+11   2.4478E+11   2.4347E+11   2.4186E+11   2.4443E+11   2.4375E+11   2.4295E+11   2.4354E+11   7.5318E+04   0.0000E+00
   1.0154E+03   8.0742E+11   3.1539E+11   3.1615E+11   3.1424E+11   3.1216E+11   3.1541E+11   3.1456E+11   3.1304E+11   3.1426E+11   3.7620E+05   0.0000E+00
   1.0887E+03   7.8608E+11   3.4247E+11   3.4296E+11   3.4118E+11   3.3879E+11   3.4222E+11   3.4130E+11   3.3983E+11   3.4104E+11   1.9392E+06   0.0000E+00
   1.1673E+03   7.1425E+11   3.5076E+11   3.5084E+11   3.4931E+11   3.4665E+11   3.5014E+11   3.4929E+11   3.4782E+11   3.4901E+11   9.9590E+06   0.0000E+00
   1.2515E+03   6.9247E+11   3.5437E+11   3.5427E+11   3.5277E+11   3.5011E+11   3.5364E+11   3.5283E+11   3.5107E+11   3.5247E+11   1.7689E+07   0.0000E+00
   1.3419E+03   6.4821E+11   3.4401E+11   3.4383E+11   3.4259E+11   3.4001E+11   3.4334E+11   3.4255E+11   3.4092E+11   3.4224E+11   1.8547E+07   0.0000E+00
   1.4387E+03   5.5786E+11   3.1314E+11   3.1289E+11   3.1195E+11   3.0954E+11   3.1252E+11   3.1183E+11   3.1055E+11   3.1157E+11   1.9241E+07   0.0000E+00
   1.5425E+03   4.1633E+11   2.5936E+11   2.5912E+11   2.5861E+11   2.5646E+11   2.5893E+11   2.5841E+11   2.5764E+11   2.5821E+11   1.9943E+07   0.0000E+00
   1.6538E+03   4.0498E+11   2.4168E+11   2.4144E+11   2.4093E+11   2.3907E+11   2.4136E+11   2.4086E+11   2.3997E+11   2.4064E+11   2.0571E+07   0.0000E+00
   1.7732E+03   3.6207E+11   2.2424E+11   2.2400E+11   2.2358E+11   2.2188E+11   2.2393E+11   2.2350E+11   2.2270E+11   2.2330E+11   2.0916E+07   0.0000E+00
