 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   6.2305E+12   3.0867E+11   3.0324E+11   3.6235E+11   5.6653E+11   7.2161E+11   8.8117E+11   8.8797E+11   6.7323E+11   5.7400E+02   0.0000E+00
   1.0186E+02   6.4638E+12   2.8844E+11   2.8474E+11   3.4254E+11   5.4366E+11   6.9978E+11   8.6009E+11   8.6182E+11   6.5134E+11   3.0298E+02   0.0000E+00
   1.0921E+02   6.4707E+12   2.8872E+11   2.8501E+11   3.4283E+11   5.4402E+11   7.0018E+11   8.6050E+11   8.6229E+11   6.5172E+11   1.6269E+02   0.0000E+00
   1.1709E+02   6.4768E+12   2.7520E+11   2.7238E+11   3.2882E+11   5.2609E+11   6.8082E+11   8.3973E+11   8.3891E+11   6.3299E+11   8.6590E+01   0.0000E+00
   1.2554E+02   6.6474E+12   2.5166E+11   2.5070E+11   3.0518E+11   4.9787E+11   6.5243E+11   8.1184E+11   8.0505E+11   6.0519E+11   4.5559E+01   0.0000E+00
   1.3460E+02   6.6478E+12   2.3397E+11   2.3411E+11   2.8651E+11   4.7347E+11   6.2539E+11   7.8288E+11   7.7244E+11   5.7936E+11   2.4151E+01   0.0000E+00
   1.4431E+02   6.6858E+12   2.1443E+11   2.1573E+11   2.6561E+11   4.4567E+11   5.9434E+11   7.4971E+11   7.3465E+11   5.4986E+11   1.2771E+01   0.0000E+00
   1.5473E+02   6.7958E+12   1.9443E+11   1.9706E+11   2.4442E+11   4.1843E+11   5.6494E+11   7.1999E+11   6.9886E+11   5.2189E+11   6.7287E+00   0.0000E+00
   1.6589E+02   6.8559E+12   1.7529E+11   1.7904E+11   2.2368E+11   3.9093E+11   5.3409E+11   6.8811E+11   6.6138E+11   4.9289E+11   3.5480E+00   0.0000E+00
   1.7786E+02   6.8562E+12   1.5609E+11   1.6076E+11   2.0229E+11   3.6139E+11   4.9949E+11   6.5121E+11   6.1936E+11   4.6075E+11   1.8709E+00   0.0000E+00
   1.9070E+02   6.8556E+12   1.4077E+11   1.4612E+11   1.8498E+11   3.3718E+11   4.7057E+11   6.2037E+11   5.8431E+11   4.3410E+11   9.8855E-01   0.0000E+00
   2.0446E+02   6.9593E+12   1.3275E+11   1.3859E+11   1.7619E+11   3.2592E+11   4.5787E+11   6.0867E+11   5.6921E+11   4.2253E+11   5.2410E-01   0.0000E+00
   2.1922E+02   7.0088E+12   1.1726E+11   1.2373E+11   1.5841E+11   3.0106E+11   4.2752E+11   5.7716E+11   5.3278E+11   3.9502E+11   2.7532E-01   0.0000E+00
   2.3504E+02   7.2957E+12   1.0954E+11   1.1633E+11   1.4830E+11   2.8383E+11   4.0396E+11   5.5154E+11   5.0344E+11   3.7445E+11   1.4485E-01   0.0000E+00
   2.5200E+02   7.8082E+12   9.5247E+10   1.0236E+11   1.3100E+11   2.5819E+11   3.7126E+11   5.1669E+11   4.6376E+11   3.4515E+11   7.5885E-02   0.0000E+00
   2.7019E+02   8.2610E+12   8.2258E+10   8.9644E+10   1.1532E+11   2.3578E+11   3.4268E+11   4.8766E+11   4.2953E+11   3.1985E+11   3.9736E-02   0.0000E+00
   2.8969E+02   8.2459E+12   6.9079E+10   7.6446E+10   9.8858E+10   2.1071E+11   3.0911E+11   4.5088E+11   3.8921E+11   2.9008E+11   2.2251E-02   0.0000E+00
   3.1059E+02   8.0149E+12   5.7779E+10   6.4977E+10   8.4366E+10   1.8807E+11   2.7767E+11   4.1607E+11   3.5159E+11   2.6248E+11   2.2984E-01   0.0000E+00
   3.3301E+02   8.3681E+12   4.9147E+10   5.6260E+10   7.3211E+10   1.7134E+11   2.5434E+11   3.9229E+11   3.2385E+11   2.4247E+11   6.5730E-02   0.0000E+00
   3.5704E+02   8.4177E+12   4.0587E+10   4.7392E+10   6.1638E+10   1.5204E+11   2.2680E+11   3.6081E+11   2.9018E+11   2.1830E+11   1.8772E-02   0.0000E+00
   3.8280E+02   8.4774E+12   4.0917E+10   4.7783E+10   6.2386E+10   1.5385E+11   2.2983E+11   3.6441E+11   2.9404E+11   2.2084E+11   5.7642E-03   0.0000E+00
   4.1043E+02   8.9831E+12   3.8536E+10   4.5406E+10   5.9368E+10   1.4987E+11   2.2435E+11   3.6000E+11   2.8768E+11   2.1637E+11   1.7153E-03   0.0000E+00
   4.4005E+02   8.9277E+12   3.0056E+10   3.6413E+10   4.7465E+10   1.2929E+11   1.9357E+11   3.2435E+11   2.5029E+11   1.8966E+11   4.8094E-04   0.0000E+00
   4.7181E+02   8.9270E+12   2.1958E+10   2.7568E+10   3.5692E+10   1.0846E+11   1.6079E+11   2.8751E+11   2.1007E+11   1.6182E+11   1.3132E-04   0.0000E+00
   5.0586E+02   8.8780E+12   1.5571E+10   2.0098E+10   2.5674E+10   8.8722E+10   1.2708E+11   2.4629E+11   1.6898E+11   1.3312E+11   1.8173E-20   0.0000E+00
   5.4236E+02   8.9387E+12   1.0868E+10   1.4229E+10   1.7362E+10   6.9298E+10   9.4382E+10   2.0302E+11   1.2632E+11   1.0434E+11   3.0879E-38   0.0000E+00
   5.8151E+02   9.2157E+12   6.6297E+09   8.5404E+09   9.7284E+09   4.9155E+10   5.7795E+10   1.4937E+11   7.9003E+10   7.1475E+10   0.0000E+00   0.0000E+00
   6.2347E+02   8.9830E+12   4.0087E+09   4.3554E+09   4.4810E+09   2.8387E+10   2.0902E+10   7.5670E+10   2.8819E+10   3.3473E+10   0.0000E+00   0.0000E+00
   6.6847E+02   8.9162E+12   3.4288E+09   3.3075E+09   3.4097E+09   2.1030E+10   9.5260E+09   4.2342E+10   1.3607E+10   1.9055E+10   0.0000E+00   0.0000E+00
   7.1671E+02   8.7143E+12   3.3250E+09   3.0680E+09   3.1490E+09   1.7317E+10   6.3163E+09   2.9091E+10   8.3922E+09   1.3616E+10   0.0000E+00   0.0000E+00
   7.6843E+02   8.3747E+12   3.5187E+09   3.3117E+09   3.3959E+09   1.9994E+10   8.8541E+09   3.9250E+10   1.2374E+10   1.7782E+10   0.0000E+00   0.0000E+00
   8.2389E+02   8.4460E+12   4.2429E+09   4.2791E+09   4.3578E+09   2.5714E+10   1.6942E+10   6.4148E+10   2.3266E+10   2.8480E+10   0.0000E+00   0.0000E+00
   8.8334E+02   8.4232E+12   5.1838E+09   5.5251E+09   5.7015E+09   3.1657E+10   2.6274E+10   8.7149E+10   3.5789E+10   3.9305E+10   0.0000E+00   0.0000E+00
