 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   3.2112E+11   2.2953E+11   2.2802E+11   2.1907E+11   2.1880E+11   2.2954E+11   2.2945E+11   1.9548E+11   2.2173E+11   5.1567E+08   0.0000E+00
   1.0186E+02   4.3367E+11   2.3571E+11   2.3410E+11   2.2468E+11   2.2438E+11   2.3574E+11   2.3564E+11   2.0035E+11   2.2756E+11   5.7720E+08   0.0000E+00
   1.0921E+02   4.4247E+11   2.3587E+11   2.3426E+11   2.2485E+11   2.2455E+11   2.3591E+11   2.3581E+11   2.0052E+11   2.2773E+11   6.5761E+08   0.0000E+00
   1.1709E+02   4.4952E+11   2.3602E+11   2.3439E+11   2.2485E+11   2.2454E+11   2.3608E+11   2.3597E+11   2.0043E+11   2.2781E+11   7.5484E+08   0.0000E+00
   1.2554E+02   4.8089E+11   2.4207E+11   2.4034E+11   2.3026E+11   2.2991E+11   2.4217E+11   2.4205E+11   2.0505E+11   2.3347E+11   8.7075E+08   0.0000E+00
   1.3460E+02   4.8369E+11   2.4232E+11   2.4055E+11   2.3028E+11   2.2991E+11   2.4245E+11   2.4233E+11   2.0495E+11   2.3361E+11   1.0142E+09   0.0000E+00
   1.4431E+02   5.2083E+11   2.4363E+11   2.4179E+11   2.3126E+11   2.3087E+11   2.4380E+11   2.4367E+11   2.0578E+11   2.3477E+11   1.1879E+09   0.0000E+00
   1.5473E+02   5.4141E+11   2.4811E+11   2.4618E+11   2.3518E+11   2.3475E+11   2.4833E+11   2.4820E+11   2.0916E+11   2.3894E+11   1.3972E+09   0.0000E+00
   1.6589E+02   5.4892E+11   2.5078E+11   2.4877E+11   2.3738E+11   2.3691E+11   2.5107E+11   2.5092E+11   2.1102E+11   2.4138E+11   1.6519E+09   0.0000E+00
   1.7786E+02   5.5253E+11   2.5136E+11   2.4929E+11   2.3760E+11   2.3710E+11   2.5173E+11   2.5157E+11   2.1116E+11   2.4181E+11   1.9616E+09   0.0000E+00
   1.9070E+02   5.5568E+11   2.5203E+11   2.4990E+11   2.3796E+11   2.3744E+11   2.5249E+11   2.5233E+11   2.1148E+11   2.4237E+11   2.3411E+09   0.0000E+00
   2.0446E+02   5.6394E+11   2.5663E+11   2.5443E+11   2.4213E+11   2.4160E+11   2.5720E+11   2.5703E+11   2.1525E+11   2.4678E+11   2.8102E+09   0.0000E+00
   2.1922E+02   5.7041E+11   2.5933E+11   2.5704E+11   2.4433E+11   2.4377E+11   2.6005E+11   2.5986E+11   2.1726E+11   2.4929E+11   3.3758E+09   0.0000E+00
   2.3504E+02   1.2410E+12   2.7312E+11   2.7067E+11   2.5732E+11   2.5682E+11   2.7413E+11   2.7391E+11   2.3011E+11   2.6284E+11   4.0733E+09   0.0000E+00
   2.5200E+02   2.1138E+12   2.7625E+11   2.7369E+11   2.5990E+11   2.5938E+11   2.7751E+11   2.7727E+11   2.3265E+11   2.6583E+11   4.9273E+09   0.0000E+00
