 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   6.3492E+10   6.4534E+09   6.4919E+09   6.4037E+09   6.3607E+09   6.5310E+09   6.6586E+09   6.7415E+09   6.5399E+09   8.8482E+04   0.0000E+00
   1.0186E+02   1.7065E+11   7.5491E+09   7.6002E+09   7.4958E+09   7.4612E+09   7.6594E+09   7.7992E+09   7.8864E+09   7.6620E+09   7.1094E+04   0.0000E+00
   1.0921E+02   1.7863E+11   7.6012E+09   7.6542E+09   7.5487E+09   7.5132E+09   7.7133E+09   7.8543E+09   7.9402E+09   7.7157E+09   6.2084E+04   0.0000E+00
   1.1709E+02   1.8560E+11   7.6298E+09   7.6858E+09   7.5782E+09   7.5453E+09   7.7455E+09   7.8885E+09   7.9742E+09   7.7482E+09   5.6206E+04   0.0000E+00
   1.2554E+02   2.1178E+11   8.1435E+09   8.2150E+09   8.0964E+09   8.0693E+09   8.2818E+09   8.4347E+09   8.5228E+09   8.2832E+09   5.7466E+04   0.0000E+00
   1.3460E+02   2.1339E+11   8.2071E+09   8.2843E+09   8.1624E+09   8.1396E+09   8.3524E+09   8.5080E+09   8.5963E+09   8.3540E+09   8.5092E+04   0.0000E+00
   1.4431E+02   2.5943E+11   9.0840E+09   9.1918E+09   9.0520E+09   9.0358E+09   9.2753E+09   9.4432E+09   9.5305E+09   9.2706E+09   2.0194E+05   0.0000E+00
   1.5473E+02   2.8330E+11   9.7522E+09   9.8886E+09   9.7327E+09   9.7247E+09   9.9849E+09   1.0165E+10   1.0253E+10   9.9759E+09   6.5537E+05   0.0000E+00
   1.6589E+02   2.8850E+11   1.0027E+10   1.0177E+10   1.0013E+10   1.0013E+10   1.0279E+10   1.0465E+10   1.0555E+10   1.0269E+10   2.4134E+06   0.0000E+00
   1.7786E+02   2.9099E+11   1.0253E+10   1.0417E+10   1.0246E+10   1.0254E+10   1.0524E+10   1.0715E+10   1.0805E+10   1.0513E+10   9.3198E+06   0.0000E+00
   1.9070E+02   2.9272E+11   1.0521E+10   1.0699E+10   1.0522E+10   1.0536E+10   1.0811E+10   1.1008E+10   1.1097E+10   1.0799E+10   3.6907E+07   0.0000E+00
   2.0446E+02   2.9550E+11   1.0979E+10   1.1172E+10   1.0986E+10   1.1003E+10   1.1284E+10   1.1491E+10   1.1577E+10   1.1273E+10   1.4913E+08   0.0000E+00
   2.1922E+02   2.9795E+11   1.1748E+10   1.1958E+10   1.1763E+10   1.1782E+10   1.2060E+10   1.2288E+10   1.2359E+10   1.2057E+10   6.1424E+08   0.0000E+00
   2.3504E+02   9.6664E+11   2.5719E+10   2.6157E+10   2.5784E+10   2.5781E+10   2.6311E+10   2.6724E+10   2.6716E+10   2.6286E+10   2.5834E+09   0.0000E+00
   2.5200E+02   2.7997E+12   3.5137E+10   3.5631E+10   3.5241E+10   3.5053E+10   3.5496E+10   3.6197E+10   3.5908E+10   3.5621E+10   1.1105E+10   0.0000E+00
   2.7019E+02   3.8495E+12   7.2286E+10   7.2767E+10   7.2414E+10   7.1259E+10   7.1247E+10   7.3138E+10   7.1692E+10   7.2065E+10   4.8833E+10   0.0000E+00
   2.8969E+02   3.8068E+12   2.4409E+11   2.4450E+11   2.4431E+11   2.3832E+11   2.3679E+11   2.4408E+11   2.3776E+11   2.4068E+11   2.1967E+11   0.0000E+00
   3.1059E+02   2.8849E+12   5.0974E+11   5.0952E+11   5.0932E+11   4.9644E+11   4.9328E+11   5.0890E+11   4.9570E+11   5.0162E+11   4.8220E+11   0.0000E+00
   3.3301E+02   3.7829E+12   5.0102E+11   5.0074E+11   5.0056E+11   4.8747E+11   4.8428E+11   5.0010E+11   4.8664E+11   4.9272E+11   4.7449E+11   0.0000E+00
   3.5704E+02   3.8343E+12   4.9210E+11   4.9175E+11   4.9159E+11   4.7830E+11   4.7506E+11   4.9109E+11   4.7736E+11   4.8360E+11   4.6692E+11   0.0000E+00
   3.8280E+02   3.8181E+12   4.8385E+11   4.8345E+11   4.8330E+11   4.7032E+11   4.6712E+11   4.8282E+11   4.6939E+11   4.7549E+11   4.6033E+11   0.0000E+00
   4.1043E+02   4.3194E+12   4.7607E+11   4.7563E+11   4.7548E+11   4.6260E+11   4.5941E+11   4.7503E+11   4.6165E+11   4.6773E+11   4.5350E+11   0.0000E+00
