 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   1.3219E+12   9.0765E+11   9.8513E+11   9.6262E+11   9.7487E+11   1.0121E+12   9.0789E+11   1.0314E+12   9.7195E+11   1.8035E+02   0.0000E+00
   1.0186E+02   1.3527E+12   9.1647E+11   1.0009E+12   9.7835E+11   9.9168E+11   1.0305E+12   9.2061E+11   1.0500E+12   9.8796E+11   4.2503E+02   0.0000E+00
   1.0921E+02   1.3528E+12   9.1663E+11   1.0010E+12   9.7847E+11   9.9179E+11   1.0306E+12   9.2074E+11   1.0501E+12   9.8808E+11   1.0117E+03   0.0000E+00
   1.1709E+02   1.3529E+12   9.1025E+11   9.9733E+11   9.7507E+11   9.8881E+11   1.0279E+12   9.1643E+11   1.0473E+12   9.8471E+11   2.3954E+03   0.0000E+00
   1.2554E+02   1.3847E+12   9.1626E+11   1.0119E+12   9.8985E+11   1.0049E+12   1.0457E+12   9.2771E+11   1.0654E+12   9.9980E+11   5.6322E+03   0.0000E+00
   1.3460E+02   1.3848E+12   9.0642E+11   1.0063E+12   9.8474E+11   1.0005E+12   1.0418E+12   9.2128E+11   1.0612E+12   9.9475E+11   1.3300E+04   0.0000E+00
   1.4431E+02   1.3855E+12   8.9489E+11   9.9997E+11   9.7906E+11   9.9562E+11   1.0375E+12   9.1405E+11   1.0568E+12   9.8917E+11   3.1350E+04   0.0000E+00
   1.5473E+02   1.4061E+12   8.9269E+11   1.0060E+12   9.8566E+11   1.0035E+12   1.0468E+12   9.1781E+11   1.0661E+12   9.9606E+11   7.3699E+04   0.0000E+00
   1.6589E+02   1.4185E+12   8.8521E+11   1.0062E+12   9.8663E+11   1.0057E+12   1.0501E+12   9.1639E+11   1.0692E+12   9.9727E+11   1.7326E+05   0.0000E+00
   1.7786E+02   1.4187E+12   8.6953E+11   9.9738E+11   9.7891E+11   9.9912E+11   1.0443E+12   9.0692E+11   1.0630E+12   9.8972E+11   4.0712E+05   0.0000E+00
