 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   2.8056E+11   2.8056E+11   2.8056E+11   2.8056E+11   2.8056E+11   2.8056E+11   2.8056E+11   2.8056E+11   2.8062E+11   0.0000E+00   0.0000E+00
   1.0186E+02   2.9701E+11   2.9701E+11   2.9701E+11   2.9701E+11   2.9701E+11   2.9701E+11   2.9701E+11   2.9701E+11   2.9707E+11   0.0000E+00   0.0000E+00
   1.0921E+02   2.9791E+11   2.9791E+11   2.9791E+11   2.9791E+11   2.9791E+11   2.9791E+11   2.9791E+11   2.9791E+11   2.9797E+11   0.0000E+00   0.0000E+00
   1.1709E+02   2.9880E+11   2.9880E+11   2.9880E+11   2.9880E+11   2.9880E+11   2.9880E+11   2.9880E+11   2.9880E+11   2.9886E+11   0.0000E+00   0.0000E+00
   1.2554E+02   3.1022E+11   3.1022E+11   3.1022E+11   3.1022E+11   3.1022E+11   3.1022E+11   3.1022E+11   3.1022E+11   3.1028E+11   0.0000E+00   0.0000E+00
   1.3460E+02   3.1053E+11   3.1053E+11   3.1053E+11   3.1053E+11   3.1053E+11   3.1053E+11   3.1053E+11   3.1053E+11   3.1060E+11   0.0000E+00   0.0000E+00
   1.4431E+02   3.2177E+11   3.2177E+11   3.2177E+11   3.2177E+11   3.2177E+11   3.2177E+11   3.2177E+11   3.2177E+11   3.2183E+11   0.0000E+00   0.0000E+00
   1.5473E+02   3.3249E+11   3.3249E+11   3.3249E+11   3.3249E+11   3.3249E+11   3.3249E+11   3.3249E+11   3.3249E+11   3.3256E+11   0.0000E+00   0.0000E+00
   1.6589E+02   3.3592E+11   3.3592E+11   3.3592E+11   3.3592E+11   3.3592E+11   3.3592E+11   3.3592E+11   3.3592E+11   3.3599E+11   0.0000E+00   0.0000E+00
   1.7786E+02   3.3644E+11   3.3644E+11   3.3644E+11   3.3644E+11   3.3644E+11   3.3644E+11   3.3644E+11   3.3644E+11   3.3650E+11   0.0000E+00   0.0000E+00
   1.9070E+02   3.3691E+11   3.3691E+11   3.3691E+11   3.3691E+11   3.3691E+11   3.3691E+11   3.3691E+11   3.3691E+11   3.3698E+11   0.0000E+00   0.0000E+00
   2.0446E+02   3.4228E+11   3.4228E+11   3.4228E+11   3.4228E+11   3.4228E+11   3.4228E+11   3.4228E+11   3.4228E+11   3.4235E+11   0.0000E+00   0.0000E+00
   2.1922E+02   3.4522E+11   3.4522E+11   3.4522E+11   3.4522E+11   3.4522E+11   3.4522E+11   3.4522E+11   3.4522E+11   3.4529E+11   0.0000E+00   0.0000E+00
   2.3504E+02   4.9626E+11   4.9626E+11   4.9626E+11   4.9626E+11   4.9626E+11   4.9626E+11   4.9626E+11   4.9626E+11   4.9636E+11   0.0000E+00   0.0000E+00
   2.5200E+02   9.2886E+11   9.2886E+11   9.2886E+11   9.2886E+11   9.2886E+11   9.2886E+11   9.2886E+11   9.2886E+11   9.2905E+11   0.0000E+00   0.0000E+00
   2.7019E+02   1.2037E+12   1.2037E+12   1.2037E+12   1.2037E+12   1.2037E+12   1.2037E+12   1.2037E+12   1.2037E+12   1.2039E+12   0.0000E+00   0.0000E+00
   2.8969E+02   1.1922E+12   1.1922E+12   1.1922E+12   1.1922E+12   1.1922E+12   1.1922E+12   1.1922E+12   1.1922E+12   1.1925E+12   0.0000E+00   0.0000E+00
   3.1059E+02   1.0152E+12   1.0152E+12   1.0152E+12   1.0152E+12   1.0152E+12   1.0152E+12   1.0152E+12   1.0152E+12   1.0154E+12   0.0000E+00   0.0000E+00
   3.3301E+02   1.1954E+12   1.1954E+12   1.1954E+12   1.1954E+12   1.1954E+12   1.1954E+12   1.1954E+12   1.1954E+12   1.1956E+12   0.0000E+00   0.0000E+00
   3.5704E+02   1.1944E+12   1.1944E+12   1.1944E+12   1.1944E+12   1.1944E+12   1.1944E+12   1.1944E+12   1.1944E+12   1.1946E+12   0.0000E+00   0.0000E+00
   3.8280E+02   1.1785E+12   1.1785E+12   1.1785E+12   1.1785E+12   1.1785E+12   1.1785E+12   1.1785E+12   1.1785E+12   1.1787E+12   0.0000E+00   0.0000E+00
   4.1043E+02   1.2655E+12   1.2655E+12   1.2655E+12   1.2655E+12   1.2655E+12   1.2655E+12   1.2655E+12   1.2655E+12   1.2657E+12   0.0000E+00   0.0000E+00
   4.4005E+02   1.2156E+12   1.2156E+12   1.2156E+12   1.2156E+12   1.2156E+12   1.2156E+12   1.2156E+12   1.2156E+12   1.2158E+12   0.0000E+00   0.0000E+00
   4.7181E+02   1.1522E+12   1.1522E+12   1.1522E+12   1.1522E+12   1.1522E+12   1.1522E+12   1.1522E+12   1.1522E+12   1.1524E+12   0.0000E+00   0.0000E+00
   5.0586E+02   1.1164E+12   1.1164E+12   1.1164E+12   1.1164E+12   1.1164E+12   1.1164E+12   1.1164E+12   1.1164E+12   1.1166E+12   0.0000E+00   0.0000E+00
