 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   6.3493E+10   6.3493E+10   6.3493E+10   6.3493E+10   6.3493E+10   6.3493E+10   6.3493E+10   6.3493E+10   6.3506E+10   0.0000E+00   0.0000E+00
   1.0186E+02   1.7065E+11   1.7065E+11   1.7065E+11   1.7065E+11   1.7065E+11   1.7065E+11   1.7065E+11   1.7065E+11   1.7068E+11   0.0000E+00   0.0000E+00
   1.0921E+02   1.7863E+11   1.7863E+11   1.7863E+11   1.7863E+11   1.7863E+11   1.7863E+11   1.7863E+11   1.7863E+11   1.7866E+11   0.0000E+00   0.0000E+00
   1.1709E+02   1.8560E+11   1.8560E+11   1.8560E+11   1.8560E+11   1.8560E+11   1.8560E+11   1.8560E+11   1.8560E+11   1.8564E+11   0.0000E+00   0.0000E+00
   1.2554E+02   2.1178E+11   2.1178E+11   2.1178E+11   2.1178E+11   2.1178E+11   2.1178E+11   2.1178E+11   2.1178E+11   2.1182E+11   0.0000E+00   0.0000E+00
   1.3460E+02   2.1339E+11   2.1339E+11   2.1339E+11   2.1339E+11   2.1339E+11   2.1339E+11   2.1339E+11   2.1339E+11   2.1343E+11   0.0000E+00   0.0000E+00
   1.4431E+02   2.5943E+11   2.5943E+11   2.5943E+11   2.5943E+11   2.5943E+11   2.5943E+11   2.5943E+11   2.5943E+11   2.5948E+11   0.0000E+00   0.0000E+00
   1.5473E+02   2.8330E+11   2.8330E+11   2.8330E+11   2.8330E+11   2.8330E+11   2.8330E+11   2.8330E+11   2.8330E+11   2.8336E+11   0.0000E+00   0.0000E+00
   1.6589E+02   2.8850E+11   2.8850E+11   2.8850E+11   2.8850E+11   2.8850E+11   2.8850E+11   2.8850E+11   2.8850E+11   2.8856E+11   0.0000E+00   0.0000E+00
   1.7786E+02   2.9099E+11   2.9099E+11   2.9099E+11   2.9099E+11   2.9099E+11   2.9099E+11   2.9099E+11   2.9099E+11   2.9105E+11   0.0000E+00   0.0000E+00
