 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   2.8218E+12   2.8218E+12   2.8218E+12   2.8218E+12   2.8218E+12   2.8218E+12   2.8218E+12   2.8218E+12   2.8224E+12   0.0000E+00   0.0000E+00
   1.0186E+02   2.9839E+12   2.9839E+12   2.9839E+12   2.9839E+12   2.9839E+12   2.9839E+12   2.9839E+12   2.9839E+12   2.9845E+12   0.0000E+00   0.0000E+00
   1.0921E+02   2.9918E+12   2.9918E+12   2.9918E+12   2.9918E+12   2.9918E+12   2.9918E+12   2.9918E+12   2.9918E+12   2.9924E+12   0.0000E+00   0.0000E+00
   1.1709E+02   2.9990E+12   2.9990E+12   2.9990E+12   2.9990E+12   2.9990E+12   2.9990E+12   2.9990E+12   2.9990E+12   2.9997E+12   0.0000E+00   0.0000E+00
   1.2554E+02   3.0974E+12   3.0974E+12   3.0974E+12   3.0974E+12   3.0974E+12   3.0974E+12   3.0974E+12   3.0974E+12   3.0980E+12   0.0000E+00   0.0000E+00
   1.3460E+02   3.1001E+12   3.1001E+12   3.1001E+12   3.1001E+12   3.1001E+12   3.1001E+12   3.1001E+12   3.1001E+12   3.1007E+12   0.0000E+00   0.0000E+00
   1.4431E+02   3.1701E+12   3.1701E+12   3.1701E+12   3.1701E+12   3.1701E+12   3.1701E+12   3.1701E+12   3.1701E+12   3.1708E+12   0.0000E+00   0.0000E+00
   1.5473E+02   3.2530E+12   3.2530E+12   3.2530E+12   3.2530E+12   3.2530E+12   3.2530E+12   3.2530E+12   3.2530E+12   3.2537E+12   0.0000E+00   0.0000E+00
   1.6589E+02   3.2854E+12   3.2854E+12   3.2854E+12   3.2854E+12   3.2854E+12   3.2854E+12   3.2854E+12   3.2854E+12   3.2860E+12   0.0000E+00   0.0000E+00
   1.7786E+02   3.2893E+12   3.2893E+12   3.2893E+12   3.2893E+12   3.2893E+12   3.2893E+12   3.2893E+12   3.2893E+12   3.2900E+12   0.0000E+00   0.0000E+00
   1.9070E+02   3.2928E+12   3.2928E+12   3.2928E+12   3.2928E+12   3.2928E+12   3.2928E+12   3.2928E+12   3.2928E+12   3.2935E+12   0.0000E+00   0.0000E+00
   2.0446E+02   3.3444E+12   3.3444E+12   3.3444E+12   3.3444E+12   3.3444E+12   3.3444E+12   3.3444E+12   3.3444E+12   3.3451E+12   0.0000E+00   0.0000E+00
   2.1922E+02   3.3716E+12   3.3716E+12   3.3716E+12   3.3716E+12   3.3716E+12   3.3716E+12   3.3716E+12   3.3716E+12   3.3723E+12   0.0000E+00   0.0000E+00
   2.3504E+02   4.1006E+12   4.1006E+12   4.1006E+12   4.1006E+12   4.1006E+12   4.1006E+12   4.1006E+12   4.1006E+12   4.1015E+12   0.0000E+00   0.0000E+00
   2.5200E+02   5.1764E+12   5.1764E+12   5.1764E+12   5.1764E+12   5.1764E+12   5.1764E+12   5.1764E+12   5.1764E+12   5.1775E+12   0.0000E+00   0.0000E+00
   2.7019E+02   5.9057E+12   5.9057E+12   5.9057E+12   5.9057E+12   5.9057E+12   5.9057E+12   5.9057E+12   5.9057E+12   5.9069E+12   0.0000E+00   0.0000E+00
