 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   1.9572E+10   1.9572E+10   1.9572E+10   1.9572E+10   1.9572E+10   1.9572E+10   1.9572E+10   1.9572E+10   1.9576E+10   0.0000E+00   0.0000E+00
   1.0186E+02   2.0382E+10   2.0382E+10   2.0382E+10   2.0382E+10   2.0382E+10   2.0382E+10   2.0382E+10   2.0382E+10   2.0386E+10   0.0000E+00   0.0000E+00
   1.0921E+02   2.0405E+10   2.0405E+10   2.0405E+10   2.0405E+10   2.0405E+10   2.0405E+10   2.0405E+10   2.0405E+10   2.0409E+10   0.0000E+00   0.0000E+00
   1.1709E+02   2.0422E+10   2.0422E+10   2.0422E+10   2.0422E+10   2.0422E+10   2.0422E+10   2.0422E+10   2.0422E+10   2.0426E+10   0.0000E+00   0.0000E+00
   1.2554E+02   2.1022E+10   2.1022E+10   2.1022E+10   2.1022E+10   2.1022E+10   2.1022E+10   2.1022E+10   2.1022E+10   2.1026E+10   0.0000E+00   0.0000E+00
   1.3460E+02   2.1050E+10   2.1050E+10   2.1050E+10   2.1050E+10   2.1050E+10   2.1050E+10   2.1050E+10   2.1050E+10   2.1054E+10   0.0000E+00   0.0000E+00
   1.4431E+02   2.1360E+10   2.1360E+10   2.1360E+10   2.1360E+10   2.1360E+10   2.1360E+10   2.1360E+10   2.1360E+10   2.1365E+10   0.0000E+00   0.0000E+00
   1.5473E+02   2.1865E+10   2.1865E+10   2.1865E+10   2.1865E+10   2.1865E+10   2.1865E+10   2.1865E+10   2.1865E+10   2.1869E+10   0.0000E+00   0.0000E+00
   1.6589E+02   2.2130E+10   2.2130E+10   2.2130E+10   2.2130E+10   2.2130E+10   2.2130E+10   2.2130E+10   2.2130E+10   2.2135E+10   0.0000E+00   0.0000E+00
   1.7786E+02   2.2215E+10   2.2215E+10   2.2215E+10   2.2215E+10   2.2215E+10   2.2215E+10   2.2215E+10   2.2215E+10   2.2219E+10   0.0000E+00   0.0000E+00
