 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   1.6111E+11   1.6111E+11   1.6111E+11   1.6111E+11   1.6111E+11   1.6111E+11   1.6111E+11   1.6111E+11   1.6114E+11   0.0000E+00   0.0000E+00
   1.0186E+02   1.9403E+11   1.9403E+11   1.9403E+11   1.9403E+11   1.9403E+11   1.9403E+11   1.9403E+11   1.9403E+11   1.9407E+11   0.0000E+00   0.0000E+00
   1.0921E+02   1.9668E+11   1.9668E+11   1.9668E+11   1.9668E+11   1.9668E+11   1.9668E+11   1.9668E+11   1.9668E+11   1.9672E+11   0.0000E+00   0.0000E+00
   1.1709E+02   1.9885E+11   1.9885E+11   1.9885E+11   1.9885E+11   1.9885E+11   1.9885E+11   1.9885E+11   1.9885E+11   1.9889E+11   0.0000E+00   0.0000E+00
   1.2554E+02   2.1002E+11   2.1002E+11   2.1002E+11   2.1002E+11   2.1002E+11   2.1002E+11   2.1002E+11   2.1002E+11   2.1006E+11   0.0000E+00   0.0000E+00
   1.3460E+02   2.1138E+11   2.1138E+11   2.1138E+11   2.1138E+11   2.1138E+11   2.1138E+11   2.1138E+11   2.1138E+11   2.1143E+11   0.0000E+00   0.0000E+00
   1.4431E+02   2.2293E+11   2.2293E+11   2.2293E+11   2.2293E+11   2.2293E+11   2.2293E+11   2.2293E+11   2.2293E+11   2.2297E+11   0.0000E+00   0.0000E+00
   1.5473E+02   2.3089E+11   2.3089E+11   2.3089E+11   2.3089E+11   2.3089E+11   2.3089E+11   2.3089E+11   2.3089E+11   2.3093E+11   0.0000E+00   0.0000E+00
   1.6589E+02   2.3425E+11   2.3425E+11   2.3425E+11   2.3425E+11   2.3425E+11   2.3425E+11   2.3425E+11   2.3425E+11   2.3429E+11   0.0000E+00   0.0000E+00
   1.7786E+02   2.3593E+11   2.3593E+11   2.3593E+11   2.3593E+11   2.3593E+11   2.3593E+11   2.3593E+11   2.3593E+11   2.3598E+11   0.0000E+00   0.0000E+00
   1.9070E+02   2.3759E+11   2.3759E+11   2.3759E+11   2.3759E+11   2.3759E+11   2.3759E+11   2.3759E+11   2.3759E+11   2.3763E+11   0.0000E+00   0.0000E+00
   2.0446E+02   2.4196E+11   2.4196E+11   2.4196E+11   2.4196E+11   2.4196E+11   2.4196E+11   2.4196E+11   2.4196E+11   2.4200E+11   0.0000E+00   0.0000E+00
   2.1922E+02   2.4530E+11   2.4530E+11   2.4530E+11   2.4530E+11   2.4530E+11   2.4530E+11   2.4530E+11   2.4530E+11   2.4535E+11   0.0000E+00   0.0000E+00
   2.3504E+02   5.2934E+11   5.2934E+11   5.2934E+11   5.2934E+11   5.2934E+11   5.2934E+11   5.2934E+11   5.2934E+11   5.2945E+11   0.0000E+00   0.0000E+00
   2.5200E+02   1.0009E+12   1.0009E+12   1.0009E+12   1.0009E+12   1.0009E+12   1.0009E+12   1.0009E+12   1.0009E+12   1.0011E+12   0.0000E+00   0.0000E+00
   2.7019E+02   1.2658E+12   1.2658E+12   1.2658E+12   1.2658E+12   1.2658E+12   1.2658E+12   1.2658E+12   1.2658E+12   1.2661E+12   0.0000E+00   0.0000E+00
   2.8969E+02   1.2463E+12   1.2463E+12   1.2463E+12   1.2463E+12   1.2463E+12   1.2463E+12   1.2463E+12   1.2463E+12   1.2465E+12   0.0000E+00   0.0000E+00
   3.1059E+02   1.0639E+12   1.0639E+12   1.0639E+12   1.0639E+12   1.0639E+12   1.0639E+12   1.0639E+12   1.0639E+12   1.0642E+12   0.0000E+00   0.0000E+00
   3.3301E+02   1.2629E+12   1.2629E+12   1.2629E+12   1.2629E+12   1.2629E+12   1.2629E+12   1.2629E+12   1.2629E+12   1.2632E+12   0.0000E+00   0.0000E+00
   3.5704E+02   1.2912E+12   1.2912E+12   1.2912E+12   1.2912E+12   1.2912E+12   1.2912E+12   1.2912E+12   1.2912E+12   1.2915E+12   0.0000E+00   0.0000E+00
   3.8280E+02   1.2992E+12   1.2992E+12   1.2992E+12   1.2992E+12   1.2992E+12   1.2992E+12   1.2992E+12   1.2992E+12   1.2995E+12   0.0000E+00   0.0000E+00
   4.1043E+02   1.4882E+12   1.4882E+12   1.4882E+12   1.4882E+12   1.4882E+12   1.4882E+12   1.4882E+12   1.4882E+12   1.4885E+12   0.0000E+00   0.0000E+00
   4.4005E+02   1.4196E+12   1.4196E+12   1.4196E+12   1.4196E+12   1.4196E+12   1.4196E+12   1.4196E+12   1.4196E+12   1.4198E+12   0.0000E+00   0.0000E+00
   4.7181E+02   1.3257E+12   1.3257E+12   1.3257E+12   1.3257E+12   1.3257E+12   1.3257E+12   1.3257E+12   1.3257E+12   1.3260E+12   0.0000E+00   0.0000E+00
   5.0586E+02   1.3037E+12   1.3037E+12   1.3037E+12   1.3037E+12   1.3037E+12   1.3037E+12   1.3037E+12   1.3037E+12   1.3040E+12   0.0000E+00   0.0000E+00
   5.4236E+02   1.4176E+12   1.4176E+12   1.4176E+12   1.4176E+12   1.4176E+12   1.4176E+12   1.4176E+12   1.4176E+12   1.4179E+12   0.0000E+00   0.0000E+00
   5.8151E+02   1.5570E+12   1.5570E+12   1.5570E+12   1.5570E+12   1.5570E+12   1.5570E+12   1.5570E+12   1.5570E+12   1.5573E+12   0.0000E+00   0.0000E+00
   6.2347E+02   1.5060E+12   1.5060E+12   1.5060E+12   1.5060E+12   1.5060E+12   1.5060E+12   1.5060E+12   1.5060E+12   1.5063E+12   0.0000E+00   0.0000E+00
   6.6847E+02   1.4504E+12   1.4504E+12   1.4504E+12   1.4504E+12   1.4504E+12   1.4504E+12   1.4504E+12   1.4504E+12   1.4507E+12   0.0000E+00   0.0000E+00
   7.1671E+02   1.3953E+12   1.3953E+12   1.3953E+12   1.3953E+12   1.3953E+12   1.3953E+12   1.3953E+12   1.3953E+12   1.3956E+12   0.0000E+00   0.0000E+00
   7.6843E+02   1.2286E+12   1.2286E+12   1.2286E+12   1.2286E+12   1.2286E+12   1.2286E+12   1.2286E+12   1.2286E+12   1.2288E+12   0.0000E+00   0.0000E+00
   8.2389E+02   1.2100E+12   1.2100E+12   1.2100E+12   1.2100E+12   1.2100E+12   1.2100E+12   1.2100E+12   1.2100E+12   1.2103E+12   0.0000E+00   0.0000E+00
   8.8334E+02   1.1279E+12   1.1279E+12   1.1279E+12   1.1279E+12   1.1279E+12   1.1279E+12   1.1279E+12   1.1279E+12   1.1281E+12   0.0000E+00   0.0000E+00
   9.4709E+02   3.7473E+12   3.7473E+12   3.7473E+12   3.7473E+12   3.7473E+12   3.7473E+12   3.7473E+12   3.7473E+12   3.7480E+12   0.0000E+00   0.0000E+00
   1.0154E+03   4.1748E+12   4.1748E+12   4.1748E+12   4.1748E+12   4.1748E+12   4.1748E+12   4.1748E+12   4.1748E+12   4.1756E+12   0.0000E+00   0.0000E+00
   1.0887E+03   4.0321E+12   4.0321E+12   4.0321E+12   4.0321E+12   4.0321E+12   4.0321E+12   4.0321E+12   4.0321E+12   4.0330E+12   0.0000E+00   0.0000E+00
   1.1673E+03   3.5591E+12   3.5591E+12   3.5591E+12   3.5591E+12   3.5591E+12   3.5591E+12   3.5591E+12   3.5591E+12   3.5598E+12   0.0000E+00   0.0000E+00
   1.2515E+03   3.3071E+12   3.3071E+12   3.3071E+12   3.3071E+12   3.3071E+12   3.3071E+12   3.3071E+12   3.3071E+12   3.3078E+12   0.0000E+00   0.0000E+00
   1.3419E+03   3.0767E+12   3.0767E+12   3.0767E+12   3.0767E+12   3.0767E+12   3.0767E+12   3.0767E+12   3.0767E+12   3.0773E+12   0.0000E+00   0.0000E+00
   1.4387E+03   2.6064E+12   2.6064E+12   2.6064E+12   2.6064E+12   2.6064E+12   2.6064E+12   2.6064E+12   2.6064E+12   2.6070E+12   0.0000E+00   0.0000E+00
   1.5425E+03   1.9174E+12   1.9174E+12   1.9174E+12   1.9174E+12   1.9174E+12   1.9174E+12   1.9174E+12   1.9174E+12   1.9178E+12   0.0000E+00   0.0000E+00
   1.6538E+03   1.8248E+12   1.8248E+12   1.8248E+12   1.8248E+12   1.8248E+12   1.8248E+12   1.8248E+12   1.8248E+12   1.8251E+12   0.0000E+00   0.0000E+00
   1.7732E+03   1.6086E+12   1.6086E+12   1.6086E+12   1.6086E+12   1.6086E+12   1.6086E+12   1.6086E+12   1.6086E+12   1.6090E+12   0.0000E+00   0.0000E+00
   1.9012E+03   1.3566E+12   1.3566E+12   1.3566E+12   1.3566E+12   1.3566E+12   1.3566E+12   1.3566E+12   1.3566E+12   1.3569E+12   0.0000E+00   0.0000E+00
   2.0384E+03   1.1991E+12   1.1991E+12   1.1991E+12   1.1991E+12   1.1991E+12   1.1991E+12   1.1991E+12   1.1991E+12   1.1994E+12   0.0000E+00   0.0000E+00
   2.1855E+03   1.0393E+12   1.0393E+12   1.0393E+12   1.0393E+12   1.0393E+12   1.0393E+12   1.0393E+12   1.0393E+12   1.0395E+12   0.0000E+00   0.0000E+00
