 (1): Wavelength (A) 
 (2): Intrinsic SED (1e30 erg/s/A)
 (3 - 9): SED at angles [   0.0000000      0.26183301      0.52366602      0.78549999       1.0473300       1.3091700       1.5710000     ] (1e30 erg/s/A)
 (10): Angle averaged SED (1e30 erg/s/A)
 (11): Molecular cloud emission (1e30 erg/s/A)
 (12): Cirrus emission (1e30 erg/s/A)
  
            1            2            3            4            5            6            7            8            9           10           11           12
   9.5000E+01   1.9269E+11   1.9269E+11   1.9269E+11   1.9269E+11   1.9269E+11   1.9269E+11   1.9269E+11   1.9269E+11   1.9273E+11   0.0000E+00   0.0000E+00
   1.0186E+02   2.1284E+11   2.1284E+11   2.1284E+11   2.1284E+11   2.1284E+11   2.1284E+11   2.1284E+11   2.1284E+11   2.1288E+11   0.0000E+00   0.0000E+00
   1.0921E+02   2.1408E+11   2.1408E+11   2.1408E+11   2.1408E+11   2.1408E+11   2.1408E+11   2.1408E+11   2.1408E+11   2.1412E+11   0.0000E+00   0.0000E+00
   1.1709E+02   2.1508E+11   2.1508E+11   2.1508E+11   2.1508E+11   2.1508E+11   2.1508E+11   2.1508E+11   2.1508E+11   2.1512E+11   0.0000E+00   0.0000E+00
   1.2554E+02   2.2222E+11   2.2222E+11   2.2222E+11   2.2222E+11   2.2222E+11   2.2222E+11   2.2222E+11   2.2222E+11   2.2227E+11   0.0000E+00   0.0000E+00
   1.3460E+02   2.2264E+11   2.2264E+11   2.2264E+11   2.2264E+11   2.2264E+11   2.2264E+11   2.2264E+11   2.2264E+11   2.2268E+11   0.0000E+00   0.0000E+00
   1.4431E+02   2.2639E+11   2.2639E+11   2.2639E+11   2.2639E+11   2.2639E+11   2.2639E+11   2.2639E+11   2.2639E+11   2.2644E+11   0.0000E+00   0.0000E+00
   1.5473E+02   2.3077E+11   2.3077E+11   2.3077E+11   2.3077E+11   2.3077E+11   2.3077E+11   2.3077E+11   2.3077E+11   2.3082E+11   0.0000E+00   0.0000E+00
   1.6589E+02   2.3293E+11   2.3293E+11   2.3293E+11   2.3293E+11   2.3293E+11   2.3293E+11   2.3293E+11   2.3293E+11   2.3298E+11   0.0000E+00   0.0000E+00
   1.7786E+02   2.3312E+11   2.3312E+11   2.3312E+11   2.3312E+11   2.3312E+11   2.3312E+11   2.3312E+11   2.3312E+11   2.3316E+11   0.0000E+00   0.0000E+00
